user_id;name;surname;username;password;email;roles;host_since;about;user_pic_url;neighbourhood;location;host_verifications;languages
18;Vita;Milano;Vita;vita!123A;vitamilano@gmail.com;1,3;2018-03-19;"I am a cultural manager, docufilm director & producer and a woman who is enthusiastic about life. I deeply love the world of Art and I dedicate myself for many years to have a dialogue and collaboration between Culture and Business. 
In this period I am following a project that I am very passionate about the CHORUS OF THE SISTINE CHAPEL, the oldest choir in the world, celestial music that blends with the extraordinary beauty and manignificence of the Sistine Chapel frescoed by the greatest Renaissance artist, Michelangelo.  

I am Board Member of the ""Opera Theater of Rome"", the historical cultural institution that promotes lyric and dance in the eternal city and I have edited several interdisciplinary artistic festivals of Music, Dance, Visual Arts, Literature, Poetry in the most beautiful Italian cities, Rome, Florence, Venice, Bologna, Ravello (Amalfi Coast). 

I believe ""Beauty will save the world"" and that's why I decided to share with the world an experience of an exciting beauty, live in Rome in the only historical private palace that overlooks the Roman Forum, the archaeological area where you can admire the ancient Imperial Rome in its magnificence directly from the window of your bedroom: the Forum of Trajan, Caesar, Augustus up to the Colosseum. 

I am passionate about DESIGN and I enjoy furnishing my houses to make them welcoming and special for my guests. I love traveling, discovering the world and the people I meet every day. 
I love cooking but also always discover new restaurants where you can eat well in cozy places. 

With me this magnificent city in all its cultural and enogastronomic aspects will have no secrets for you!";https://a0.muscache.com/im/pictures/user/b009fea7-6039-4b27-b499-a5b9c4be9ba0.jpg;Monti;Roma, Lazio, Italia;1,2,3;1,2
19;Marisa;Saveri;Marisa;marisa!123A;marisasaveri@gmail.com;1,3,4;2014-02-15;"solare e accogliente 
";https://a0.muscache.com/im/users/19/profile_pic/1392485231/original.jpg;Monti;Roma, Lazio, Italia;1,2;1,2
20;Mirca;Palestro;Mirca;mirca!123A;mircapalestro@gmail.com;1,3;2018-06-30;;https://a0.muscache.com/im/pictures/user/d0bf5d87-b799-4b7f-925a-09db5ec75e43.jpg;;Roma, Lazio, Italia;1,2;1,2
21;Giuseppe;Mirizzo;Giuseppe;giuseppe!123A;giuseppemirizzo@gmail.com;1,3;2018-07-26;;https://a0.muscache.com/im/pictures/user/87f1db28-95e6-42fa-9c74-45736067893a.jpg;Monte Verde;La Massimina-Casal Lumbroso, Lazio, Italy;1,2;1,2
22;Bianca;Gerardi;Bianca;bianca!123A;biancagerardi@gmail.com;1,3;2015-05-04;"Siamo una giovane famiglia: Bianca, Gian Marco e il piccolo Leonardo, Jackie the Jack Russell, Bibi the Cat e Big Fish.
Amiamo viaggiare e la nostra città, per questo abbiamo deciso di unire queste passioni e crearci un business.
";https://a0.muscache.com/im/pictures/user/f000c991-720e-4671-a382-33e8fd26015c.jpg;Monti;Roma, Lazio, Italia;1,2;1,2
23;Raphael;Jackson;Raphael;raphael!123A;raphaeljackson@gmail.com;1,3;2013-08-12;;https://a0.muscache.com/im/pictures/user/6f7122a9-d5dc-46c5-bb9b-82d457be39b3.jpg;;Roma, Lazio, Italia;1,2;1,2,14
24;Manuel;Tiziano;Manuel;manuel!123A;manueltiziano@gmail.com;1,3;2018-11-25;disponibile  e solare sempre attento alle  richieste dei miei ospiti per offrire un soggiorno sempre migliore;https://a0.muscache.com/im/pictures/user/28f6d69b-5ed1-4e1a-8336-3e806df3f03d.jpg;Monti;Roma, Lazio, Italia;1,2;1,2
25;Federica Maria;Cioccoloni;Federica2;federica!123A;federicamariacioccoloni@gmail.com;1,3;2015-04-15;;https://a0.muscache.com/im/pictures/user/6751227b-82ae-4224-8090-588e011d9ebf.jpg;Aurelio;Roma, Lazio, Italia;1,2;1,2
26;Chiara;Piresti;Chiara;chiara!123A;chiarapiresti@gmail.com;1,3,4;2018-12-18;;https://a0.muscache.com/im/pictures/user/ed85b32c-871d-40ef-98a4-e04a8e0f18fb.jpg;Castro Pretorio;Roma, Lazio, Italia;1,2;1,2
27;Stefania;Pontile;Stefania;stefania!123A;stefaniapontile@gmail.com;1,3;2015-11-16;;https://a0.muscache.com/im/pictures/user/f1cfed4a-6cde-477e-8aa0-8ba503d4c3c8.jpg;;Roma, Lazio, Italia;1,2;1,2
28;Letizia;Ferrato;Letizia;letizia!123A;letiziaferrato@gmail.com;1,3;2019-01-29;"Villa Letizia non è un classico albergo di Roma. E' infatti  una casa per ferie - struttura recettiva extra-alberghiera gestita dalle Suore catechiste di Sant'Anna che offrono il calore e la cortesia tipico dell'ordine. 

Villa Letizia non è una struttura ricettiva di tipo alberghiero e non è aperta al pubblico indiscriminato, essendo una struttura dedicata all'ospitalità a carattere sociale e religioso rivolta all'accoglienza di pellegrini, famiglie, appartenenti a comunità religiose e gruppi associativi, come indicato nel Regolamento interno.";https://a0.muscache.com/im/pictures/user/3abc1a74-b557-44d0-93f8-903d6c9b3334.jpg;Aurelio;Roma, Lazio, Italia;1,2,3;1,2
29;Sergio;Insenna;Sergio;sergio!123A;sergioinsenna@gmail.com;1,3;2014-06-24;"Galileo Galilei era un fisico.
Damiano Damiani era un regista.
Sergio Sergi sono io.";https://a0.muscache.com/im/pictures/user/114dc3c3-1f7f-4e80-a842-4a8f83aba002.jpg;Testaccio;Roma, Lazio, Italia;1,2;1,2
30;Orsetta;Immo;Orsetta;orsetta!123A;orsettaimmo@gmail.com;1,3;2015-09-13;;https://a0.muscache.com/im/pictures/user/ded26e08-ba49-4246-b348-dbe87ef4c35f.jpg;Monti;Roma, Lazio, Italia;1,2;1,2
31;Emanuela;Cossu;Emanuela2;emanuela!123A;emanuelacossu@gmail.com;1,3,4;2015-02-22;;https://a0.muscache.com/im/users/31/profile_pic/1424622892/original.jpg;Monti;Roma, Lazio, Italia;1,2;1,2
32;Daniele;Pegni;Daniele;daniele!123A;danielepegni@gmail.com;1,3;2019-06-28;Ospitare è sempre stato una passione per me.. Consigliare, seguire e indirizzare i miei ospiti mi trasmette un senso di soddisfazione unico. Sarà un vero piacere accompagnarvi alla scoperta di una delle città più belle del mondo.. ;https://a0.muscache.com/im/pictures/user/9d5a9f6c-6b99-4bb5-ab57-e68e77fd7001.jpg;Aurelio;Roma, Lazio, Italia;1,2;1,2
33;Biancamaria;Bonucci;Biancamaria;Biancamaria!123A;biancamariabonucci@gmail.com;;;;;;;;
34;Elena;Santilli;Elena;Elena!123A;elenasantilli@gmail.com;;;;;;;;
35;Kayley;Smith;Kayley;Kayley!123A;kayleysmith@gmail.com;;;;;;;;
36;Adrian;Rossi;Adrian;Adrian!123A;adrianrossi@gmail.com;;;;;;;;
37;Laura;Grano;Laura;Laura!123A;lauragrano@gmail.com;;;;;;;;
38;Shannon;Liz;Shannon;Shannon!123A;shannonliz@gmail.com;;;;;;;;
39;Bishr;Key;Bishr;Bishr!123A;bishrkey@gmail.com;;;;;;;;
40;Fanny;Mudley;Fanny;Fanny!123A;fannymudley@gmail.com;;;;;;;;
41;Florence;Pendel;Florence;Florence!123A;florencependel@gmail.com;;;;;;;;
42;Mafalda;Adams;Mafalda;Mafalda!123A;mafaldaadams@gmail.com;;;;;;;;
43;Michel;Niverre;Michel;Michel!123A;michelniverre@gmail.com;;;;;;;;
44;David;Reyk;David;David!123A;davidreyk@gmail.com;;;;;;;;
45;Ern�t;Lau;Ern�t;Ern�t!123A;ern�tlau@gmail.com;;;;;;;;
46;Emma;Verdi;Emma;Emma!123A;emmaverdi@gmail.com;;;;;;;;
47;Magalie;Jackson;Magalie;Magalie!123A;magaliejackson@gmail.com;;;;;;;;
48;Agneis;Stevenson;Agneis;Agneis!123A;agneisstevenson@gmail.com;;;;;;;;
49;Cesare;Cremonini;Cesare;Cesare!123A;cesarecremonini@gmail.com;;;;;;;;
50;Marshall;Red;Marshall;Marshall!123A;marshallred@gmail.com;;;;;;;;
51;Sanja;Klaus;Sanja;Sanja!123A;sanjaklaus@gmail.com;;;;;;;;
52;Rachele;Poldri;Rachele;Rachele!123A;rachelepoldri@gmail.com;;;;;;;;
53;Federico;Chievo;Federico;Federico!123A;federicochievo@gmail.com;;;;;;;;
54;Stamatis;Rastat;Stamatis;Stamatis!123A;stamatisrastat@gmail.com;;;;;;;;
55;Richard;Benson;Richard;Richard!123A;richardbenson@gmail.com;;;;;;;;
56;Mauro;Castroni;Mauro;Mauro!123A;maurocastroni@gmail.com;;;;;;;;
57;Antoinette;Francoise;Antoinette;Antoinette!123A;antoinettefrancoise@gmail.com;;;;;;;;
58;Kelley;Smith;biancamariabonucci;Kelley!123A;kelleysmith@gmail.com;;;;;;;;
59;Paola;Turci;elenasantilli;Paola!123A;paolaturci@gmail.com;;;;;;;;
60;Tony;Dalla;kayleysmith;Tony!123A;tonydalla@gmail.com;;;;;;;;
61;Talia;Ronda;adrianrossi;Talia!123A;taliaronda@gmail.com;;;;;;;;
62;Andy;Veldt;lauragrano;Andy!123A;andyveldt@gmail.com;;;;;;;;
63;Sara;Ponzi;shannonliz;Sara!123A;saraponzi@gmail.com;;;;;;;;
64;Annick;Maus;bishrkey;Annick!123A;annickmaus@gmail.com;;;;;;;;
65;Christopher;Lambert;fannymudley;Christopher!123A;christopherlambert@gmail.com;;;;;;;;
66;Marcel;Senna;florencependel;Marcel!123A;marcelsenna@gmail.com;;;;;;;;
67;?????????;Tolstoj;mafaldaadams;?????????!123A;?????????tolstoj@gmail.com;;;;;;;;
68;Greg;Checov;michelniverre;Greg!123A;gregchecov@gmail.com;;;;;;;;
69;Marie;Lamerie;davidreyk;Marie!123A;marielamerie@gmail.com;;;;;;;;
70;Bethany;Faith;ern�tlau;Bethany!123A;bethanyfaith@gmail.com;;;;;;;;
71;Mildred;Gretel;emmaverdi;Mildred!123A;mildredgretel@gmail.com;;;;;;;;
72;Martina;Belmonte;magaliejackson;Martina!123A;martinabelmonte@gmail.com;;;;;;;;
73;Poll;Rass;agneisstevenson;Poll!123A;pollrass@gmail.com;;;;;;;;
74;Rathi;Kilt;cesarecremonini;Rathi!123A;rathikilt@gmail.com;;;;;;;;
75;Rochelle;Delacourt;marshallred;Rochelle!123A;rochelledelacourt@gmail.com;;;;;;;;
76;Maxime;Gaspasse;sanjaklaus;Maxime!123A;maximegaspasse@gmail.com;;;;;;;;
77;Madelyn;Lindt;rachelepoldri;Madelyn!123A;madelynlindt@gmail.com;;;;;;;;
78;Yvanna;Toldr;federicochievo;Yvanna!123A;yvannatoldr@gmail.com;;;;;;;;
79;Alisa;Petrelli;stamatisrastat;Alisa!123A;alisapetrelli@gmail.com;;;;;;;;
80;C�line;Dion;richardbenson;C�line!123A;c�linedion@gmail.com;;;;;;;;
81;R�mi;Dastenne;maurocastroni;R�mi!123A;r�midastenne@gmail.com;;;;;;;;
82;Dominique;Cristoph;antoinettefrancoise;Dominique!123A;dominiquecristoph@gmail.com;;;;;;;;
83;Jayne;Rakim;kelleysmith;Jayne!123A;jaynerakim@gmail.com;;;;;;;;
84;Ivy;Rock;paolaturci;Ivy!123A;ivyrock@gmail.com;;;;;;;;
85;Kylie;Brown;tonydalla;Kylie!123A;kyliebrown@gmail.com;;;;;;;;
86;Mary;Sue;taliaronda;Mary!123A;marysue@gmail.com;;;;;;;;
87;Alberto;Baggio;andyveldt;Alberto!123A;albertobaggio@gmail.com;;;;;;;;
88;Vladimir;Lux;saraponzi;Vladimir!123A;vladimirlux@gmail.com;;;;;;;;
89;Ale;Pietrini;annickmaus;Ale!123A;alepietrini@gmail.com;;;;;;;;
90;Robyn;Williams;christopherlambert;Robyn!123A;robynwilliams@gmail.com;;;;;;;;
91;Chelsea;Jester;marcelsenna;Chelsea!123A;chelseajester@gmail.com;;;;;;;;
92;Lauren;Blacks;?????????tolstoj;Lauren!123A;laurenblacks@gmail.com;;;;;;;;
93;Cris;Thyne;gregchecov;Cris!123A;cristhyne@gmail.com;;;;;;;;
94;Aaron;Senna;marielamerie;Aaron!123A;aaronsenna@gmail.com;;;;;;;;
95;Mathilde;Mirabella;bethanyfaith;Mathilde!123A;mathildemirabella@gmail.com;;;;;;;;
96;Damodara;Johnson;mildredgretel;Damodara!123A;damodarajohnson@gmail.com;;;;;;;;
97;Isabel;Bali;martinabelmonte;Isabel!123A;isabelbali@gmail.com;;;;;;;;
98;Matt;Le Blanc;pollrass;Matt!123A;mattleblanc@gmail.com;;;;;;;;
99;Tristan;Carlos;rathikilt;Tristan!123A;tristancarlos@gmail.com;;;;;;;;
100;Natale;Celeste;rochelledelacourt;Natale!123A;nataleceleste@gmail.com;;;;;;;;
101;Katia;Ricci;maximegaspasse;Katia!123A;katiaricci@gmail.com;;;;;;;;
102;Paul;Newman;madelynlindt;Paul!123A;paulnewman@gmail.com;;;;;;;;
103;Jenny;Garden;yvannatoldr;Jenny!123A;jennygarden@gmail.com;;;;;;;;
104;Macie;Williams;alisapetrelli;Macie!123A;maciewilliams@gmail.com;;;;;;;;
105;Massimo;D'Angelo;c�linedion;Massimo!123A;massimod'angelo@gmail.com;;;;;;;;
106;Olivia;Laurito;r�midastenne;Olivia!123A;olivialaurito@gmail.com;;;;;;;;
107;Liza;Minetti;dominiquecristoph;Liza!123A;lizaminetti@gmail.com;;;;;;;;
108;Ludovic;Fellin;jaynerakim;Ludovic!123A;ludovicfellin@gmail.com;;;;;;;;
109;Claudia;Chiffer;ivyrock;Claudia!123A;claudiachiffer@gmail.com;;;;;;;;
110;Michael;Santos;kyliebrown;Michael!123A;michaelsantos@gmail.com;;;;;;;;
111;Jessa;Grey;marysue;Jessa!123A;jessagrey@gmail.com;;;;;;;;
112;Heidi;Hugs;albertobaggio;Heidi!123A;heidihugs@gmail.com;;;;;;;;
113;Elizabeth;McGregor;vladimirlux;Elizabeth!123A;elizabethmcgregor@gmail.com;;;;;;;;
114;Blagovesta;Dennis;alepietrini;Blagovesta!123A;blagovestadennis@gmail.com;;;;;;;;
115;Richard;Gere;robynwilliams;Richard!123A;richardgere@gmail.com;;;;;;;;
116;Christine;Frau;chelseajester;Christine!123A;christinefrau@gmail.com;;;;;;;;
117;Philippe;Derniere;laurenblacks;Philippe!123A;philippederniere@gmail.com;;;;;;;;
118;Ryan;Klaus;cristhyne;Ryan!123A;ryanklaus@gmail.com;;;;;;;;
119;Allison;Sterling;aaronsenna;Allison!123A;allisonsterling@gmail.com;;;;;;;;
120;Sonja;Dotrova;mathildemirabella;Sonja!123A;sonjadotrova@gmail.com;;;;;;;;
121;Priscilla;Turan;damodarajohnson;Priscilla!123A;priscillaturan@gmail.com;;;;;;;;
122;Kaitlin;Stark;isabelbali;Kaitlin!123A;kaitlinstark@gmail.com;;;;;;;;
!123A;Harvey;Kinkle;mattleblanc;Harvey!123A;harveykinkle@gmail.com;;;;;;;;
124;Sofia;Leggera;tristancarlos;Sofia!123A;sofialeggera@gmail.com;;;;;;;;
125;Ronald;McDonald;nataleceleste;Ronald!123A;ronaldmcdonald@gmail.com;;;;;;;;
126;Robert;Jackson;katiaricci;Robert!123A;robertjackson@gmail.com;;;;;;;;
127;Stefano;Marzi;paulnewman;Stefano!123A;stefanomarzi@gmail.com;;;;;;;;
128;Raman;Tsin;jennygarden;Raman!123A;ramantsin@gmail.com;;;;;;;;
129;Mads;Goi;maciewilliams;Mads!123A;madsgoi@gmail.com;;;;;;;;
130;Staci;Pratt;massimod'angelo;Staci!123A;stacipratt@gmail.com;;;;;;;;
131;Alina;Mitchell;olivialaurito;Alina!123A;alinamitchell@gmail.com;;;;;;;;
132;Yvonne;Guess;lizaminetti;Yvonne!123A;yvonneguess@gmail.com;;;;;;;;
133;Ahmed;Jafar;ludovicfellin;Ahmed!123A;ahmedjafar@gmail.com;;;;;;;;
134;John;Magnific;claudiachiffer;John!123A;johnmagnific@gmail.com;;;;;;;;
135;Daniela;Ubaldi;michaelsantos;Daniela!123A;danielaubaldi@gmail.com;;;;;;;;
136;Giovanni;Crocenzi;jessagrey;Giovanni!123A;giovannicrocenzi@gmail.com;;;;;;;;
137;Silvio;Minelli;heidihugs;Silvio!123A;silviominelli@gmail.com;;;;;;;;
138;Lucille;Dalois;elizabethmcgregor;Lucille!123A;lucilledalois@gmail.com;;;;;;;;
139;Sophie;Verette;blagovestadennis;Sophie!123A;sophieverette@gmail.com;;;;;;;;
140;Sofian;Zinerre;richardgere;Sofian!123A;sofianzinerre@gmail.com;;;;;;;;
141;Ernesto;Carretti;christinefrau;Ernesto!123A;ernestocarretti@gmail.com;;;;;;;;
142;Iris;Profazi;philippederniere;Iris!123A;irisprofazi@gmail.com;;;;;;;;
143;??;Kei;ryanklaus;??!123A;??kei@gmail.com;;;;;;;;
144;Susanna;Zema;allisonsterling;Susanna!123A;susannazema@gmail.com;;;;;;;;
145;Francesco;Mei;sonjadotrova;Francesco!123A;francescomei@gmail.com;;;;;;;;
146;Elia;D'Amico;priscillaturan;Elia!123A;eliad'amico@gmail.com;;;;;;;;
147;Flami;Gray;kaitlinstark;Flami!123A;flamigray@gmail.com;;;;;;;;
148;Marco;Faretti;harveykinkle;Marco!123A;marcofaretti@gmail.com;;;;;;;;
149;Alessia;Pontili;sofialeggera;Alessia!123A;alessiapontili@gmail.com;;;;;;;;
150;Francesco;Romiti;ronaldmcdonald;Francesco!123A;francescoromiti@gmail.com;;;;;;;;
151;Elizaveta;Gaudina;robertjackson;Elizaveta!123A;elizavetagaudina@gmail.com;;;;;;;;
152;Angelo;Brevi;stefanomarzi;Angelo!123A;angelobrevi@gmail.com;;;;;;;;
153;Gianluca;Branduardi;ramantsin;Gianluca!123A;gianlucabranduardi@gmail.com;;;;;;;;
154;Yasmin;Giselle;madsgoi;Yasmin!123A;yasmingiselle@gmail.com;;;;;;;;
155;Gilardi;Evo;stacipratt;Gilardi!123A;gilardievo@gmail.com;;;;;;;;
156;Ezio;Morelli;alinamitchell;Ezio!123A;eziomorelli@gmail.com;;;;;;;;
157;Melissa;Strenna;yvonneguess;Melissa!123A;melissastrenna@gmail.com;;;;;;;;
158;Marianna;Gaudenzi;ahmedjafar;Marianna!123A;mariannagaudenzi@gmail.com;;;;;;;;
159;Alessandro;Neri;johnmagnific;Alessandro!123A;alessandroneri@gmail.com;;;;;;;;
160;Myriam;Huss;danielaubaldi;Myriam!123A;myriamhuss@gmail.com;;;;;;;;
161;Kari Joy;Ethienne;giovannicrocenzi;KariJoy!123A;karijoyethienne@gmail.com;;;;;;;;
162;Gregory;Philos;silviominelli;Gregory!123A;gregoryphilos@gmail.com;;;;;;;;
163;Anat;Elie;lucilledalois;Anat!123A;anatelie@gmail.com;;;;;;;;
164;Monica;Palanca;sophieverette;Monica!123A;monicapalanca@gmail.com;;;;;;;;
165;Sally;Jackson;sofianzinerre;Sally!123A;sallyjackson@gmail.com;;;;;;;;
166;Emily;Potter;ernestocarretti;Emily!123A;emilypotter@gmail.com;;;;;;;;
167;Mickey;Raus;irisprofazi;Mickey!123A;mickeyraus@gmail.com;;;;;;;;
168;Antonio;Grandi;??kei;Antonio!123A;antoniograndi@gmail.com;;;;;;;;
169;Kerry;Elles;susannazema;Kerry!123A;kerryelles@gmail.com;;;;;;;;
170;Gabriel;Costarica;francescomei;Gabriel!123A;gabrielcostarica@gmail.com;;;;;;;;
171;Jessica;Phillips;eliad'amico;Jessica!123A;jessicaphillips@gmail.com;;;;;;;;
172;Edgar;Allan;flamigray;Edgar!123A;edgarallan@gmail.com;;;;;;;;
173;Joyce;Tie;marcofaretti;Joyce!123A;joycetie@gmail.com;;;;;;;;
174;Johnny;Stecchino;alessiapontili;Johnny!123A;johnnystecchino@gmail.com;;;;;;;;
175;Raquel;Quito;francescoromiti;Raquel!123A;raquelquito@gmail.com;;;;;;;;
176;Ty;McGregor;elizavetagaudina;Ty!123A;tymcgregor@gmail.com;;;;;;;;
177;Eyal;Krum;angelobrevi;Eyal!123A;eyalkrum@gmail.com;;;;;;;;
178;Nolan;Over;gianlucabranduardi;Nolan!123A;nolanover@gmail.com;;;;;;;;
179;Erica;Plot;yasmingiselle;Erica!123A;ericaplot@gmail.com;;;;;;;;
180;Nicolas;Floss;gilardievo;Nicolas!123A;nicolasfloss@gmail.com;;;;;;;;
181;Ankita;Marzi;eziomorelli;Ankita!123A;ankitamarzi@gmail.com;;;;;;;;
182;Brittani;Spears;melissastrenna;Brittani!123A;brittanispears@gmail.com;;;;;;;;
183;Natalie;Kidman;mariannagaudenzi;Natalie!123A;nataliekidman@gmail.com;;;;;;;;
184;Lindsay;O Neil;alessandroneri;Lindsay!123A;lindsayoneil@gmail.com;;;;;;;;
185;Sarah;Russo;myriamhuss;Sarah!123A;sarahrusso@gmail.com;;;;;;;;
186;Meghan;Markle;karijoyethienne;Meghan!123A;meghanmarkle@gmail.com;;;;;;;;
